timeslot_id,tenant_id,institution_id,slot_code,slot_name,day_of_week,start_time,end_time,shift_type,slot_type
a1b2c3d4-e5f6-7890-abcd-123456789601,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_08_09,Monday 8:00-9:00 AM,1,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789602,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_09_10,Monday 9:00-10:00 AM,1,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789603,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_10_11,Monday 10:00-11:00 AM,1,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789604,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_11_12,Monday 11:00-12:00 PM,1,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789605,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_12_13,Monday Lunch Break,1,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789606,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_13_14,Monday 1:00-2:00 PM,1,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789607,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_14_15,Monday 2:00-3:00 PM,1,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789608,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,MON_15_16,Monday 3:00-4:00 PM,1,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789610,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_08_09,Tuesday 8:00-9:00 AM,2,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789611,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_09_10,Tuesday 9:00-10:00 AM,2,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789612,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_10_11,Tuesday 10:00-11:00 AM,2,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789613,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_11_12,Tuesday 11:00-12:00 PM,2,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789614,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_12_13,Tuesday Lunch Break,2,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789615,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_13_14,Tuesday 1:00-2:00 PM,2,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789616,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_14_15,Tuesday 2:00-3:00 PM,2,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789617,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,TUE_15_16,Tuesday 3:00-4:00 PM,2,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789620,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_08_09,Wednesday 8:00-9:00 AM,3,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789621,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_09_10,Wednesday 9:00-10:00 AM,3,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789622,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_10_11,Wednesday 10:00-11:00 AM,3,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789623,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_11_12,Wednesday 11:00-12:00 PM,3,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789624,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_12_13,Wednesday Lunch Break,3,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789625,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_13_14,Wednesday 1:00-2:00 PM,3,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789626,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_14_15,Wednesday 2:00-3:00 PM,3,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789627,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,WED_15_16,Wednesday 3:00-4:00 PM,3,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789630,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_08_09,Thursday 8:00-9:00 AM,4,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789631,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_09_10,Thursday 9:00-10:00 AM,4,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789632,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_10_11,Thursday 10:00-11:00 AM,4,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789633,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_11_12,Thursday 11:00-12:00 PM,4,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789634,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_12_13,Thursday Lunch Break,4,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789635,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_13_14,Thursday 1:00-2:00 PM,4,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789636,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_14_15,Thursday 2:00-3:00 PM,4,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789637,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,THU_15_16,Thursday 3:00-4:00 PM,4,15:00:00,16:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789640,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_08_09,Friday 8:00-9:00 AM,5,08:00:00,09:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789641,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_09_10,Friday 9:00-10:00 AM,5,09:00:00,10:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789642,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_10_11,Friday 10:00-11:00 AM,5,10:00:00,11:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789643,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_11_12,Friday 11:00-12:00 PM,5,11:00:00,12:00:00,MORNING,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789644,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_12_13,Friday Lunch Break,5,12:00:00,13:00:00,AFTERNOON,BREAK
a1b2c3d4-e5f6-7890-abcd-123456789645,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_13_14,Friday 1:00-2:00 PM,5,13:00:00,14:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789646,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_14_15,Friday 2:00-3:00 PM,5,14:00:00,15:00:00,AFTERNOON,REGULAR
a1b2c3d4-e5f6-7890-abcd-123456789647,a1b2c3d4-e5f6-7890-abcd-123456789abc,a1b2c3d4-e5f6-7890-abcd-123456789001,FRI_15_16,Friday 3:00-4:00 PM,5,15:00:00,16:00:00,AFTERNOON,REGULAR
